input_text,target_text
They represented seriously Mary as a genuine linguist.,They seriously represented Mary as a genuine linguist.  
We proved to the authorities Smith to be the thief.,We proved to the authorities that Smith was the thief.  
We proved conclusively Smith to be the thief.,We conclusively proved that Smith was the thief.  
We proved conclusively to the authorities Smith to be the thief.,We conclusively proved to the authorities that Smith was the thief.  
The lions ate at the meat raw.,The lions ate the meat raw.  
We love they.,We love them.  
We love their.,We love their company.  
Us love their.,We love their actions.  
he belief that Mary kissed Bill is mistaken.,The belief that Mary kissed Bill is mistaken.  
him belief that Mary kissed Bill is mistaken.,His belief that Mary kissed Bill is mistaken.  
Mary is fond him.,Mary is fond of him.  
Mary's criticism him was cruel.,Mary’s criticism of him was cruel.  
John to love Mary would be doubtful.,It would be doubtful for John to love Mary.  
Mary considered to have loved her.,Mary was considered to have loved him.  
Mary tried John to go abroad.,Mary tried to persuade John to go abroad.  
Mary managed John to go abroad.,Mary managed to convince John to go abroad.  
Mary desired John to go abroad.,Mary desired John to go abroad.  
Mary believed he to have loved her.,Mary believed him to have loved her.  
Mary considered he to have loved her.,Mary considered him to have loved her.  
Mary reported he to have loved her.,Mary reported that he had loved her.  
Mary believed his to have loved her.,Mary believed his claim that he loved her.  
Mary considered his to have loved her.,Mary considered his claim that he loved her.  
Mary reported his to have loved her.,Mary reported his assertion that he loved her.  
There is strangers in that garden.,There are strangers in that garden.  
There is arriving three men at that station.,There are three men arriving at that station.  
I consider there a man in that garden.,I consider there to be a man in that garden.  
They alleged many strangers to have been in that garden.,They alleged that many strangers had been in that garden.  
John wagered a stranger to have been in that haunted house.,John wagered that a stranger had been in the haunted house.  
I enjoy him taking a bath.,I enjoy him taking a bath.  
I detest him taking a bath.,I detest him taking a bath.  
I noticed kissing Mary.,I noticed someone kissing Mary.  
There was known to everyone.,This was known to everyone.  
John wanted to leave the room happy and leave the room he did happy.,"John wanted to leave the room happily, and leave the room he did happily.  "
I raw eat fish drunk.,I eat raw fish when I am drunk.  
I only eat fish drunk raw.,I only eat raw fish when I am drunk.  
"Sally started running down the street, but only after JosÃ© started.","Sally started running down the street, but only after José started.  "
"Sally made Bill laugh, and then JosÃ© made.","Sally made Bill laugh, and then José did as well.  "
"Mary came to read Fred's story, and I also came to.","Mary came to read Fred’s story, and I also came to read it.  "
"Mary was told to bring something to the party, so she asked Sue what to.","Mary was told to bring something to the party, so she asked Sue what to bring.  "
We might go on vacation if we can ever figure out when to.,We might go on vacation if we can figure out when to go.  
"Ron wanted to wear a tuxedo to the party, but Caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether to wear one.  "
You shouldn't play with rifles because to is dangerous.,You shouldn’t play with rifles because it is dangerous.  
John is being discussed and Sally is being too.,"John is being discussed, and so is Sally.  "
"I remember John being discussed, but you recall Sally being.","I remember John being discussed, but you recall Sally being discussed.  "
"It's we go to the meeting, that Sally will tell us when.","When we go to the meeting, Sally will tell us what time to arrive.  "
"Mary claimed that would eat cabbage, Holly.",Mary claimed that Holly would eat cabbage.  
"Mary claimed that hasn't eaten cabbage, Holly.",Mary claimed that Holly hasn’t eaten cabbage.  
"Mary claimed that eating cabbage, Holly started.",Mary claimed that Holly started eating cabbage.  
"Mary claimed that eat cabbage, Holly made me.",Mary claimed that Holly made me eat cabbage.  
"Mary claimed that have eaten cabbage, Holly should.",Mary claimed that Holly should have eaten cabbage.  
"Mary claimed that intelligent, I consider Holly not.",Mary claimed that Holly is not intelligent.  
Lilly recounted a story to remember because Holly had also recounted a story to.,Lilly recounted a story to remember because Holly had also recounted a memorable story.  
I reviewed Joe's attempt to find Holly while you reviewed JosÃ©'s attempt to.,"I reviewed Joe’s attempt to find Holly, while you reviewed José’s attempt to do the same.  "
"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to.","Mary questioned Joe’s desire to eat cabbage, but only after I had questioned Sally’s desire to do so.  "
"Sally explained the attempt to arrest Holly, but only after I had denied the decision to.","Sally explained the attempt to arrest Holly, but only after I had denied the decision to do so.  "
You shouldn't have played with rifles because to have is dangerous.,You shouldn’t have played with rifles because it was dangerous.  
"Ron wanted to be wearing a tuxedo to the party, but Caspar didn't know whether to be.","Ron wanted to be wearing a tuxedo to the party, but Caspar didn’t know whether he should be wearing one.  "
Lilly recounted a story to be remembered because Holly had recounted a story to be.,Lilly recounted a story to be remembered because Holly had also recounted a memorable story.  
"Lilly decided eating cabbage, to be.",Lilly decided to eat cabbage.  
You shouldn't play with rifles because play with rifles to is dangerous.,You shouldn’t play with rifles because it is dangerous to do so.  
"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to.","Ron wanted to wear a tuxedo to the party, but Caspar couldn’t decide whether he should wear one.  "
Lucy Barnes recounted a story to remember because remember Holly had recounted a story to.,Lucy Barnes recounted a memorable story because Holly had also recounted a memorable one.  
"I will, if I can work on it.",I will work on it if I can.  
A proof that God exist does.,A proof that God exists does exist.  
A proof that God does exists.,A proof that God does exist exists.  
I visited every town in every country I had to.,I visited every town in every country that I needed to visit.  
"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red.","My uncle didn’t buy anything for Christmas, but my aunt did, and it was bright red.  "
"I know which book Mag read, and which book Bob asked why you hadn't.","I know which book Mag read, and which book Bob asked why you hadn’t read.  "
"I know which book Mag read, and which book Bob discussed after I had.","I know which book Mag read, and which book Bob discussed after I had discussed it.  "
"Although Mag doesn't eggplants, Sally eats cabbage.","Although Mag doesn’t eat eggplants, Sally eats cabbage.  "
"Although I don't know which book Sam did, I do know which book Sally read.","Although I don’t know which book Sam read, I do know which book Sally read.  "
"Near everyone Angleton did, Dulles stood.","Near everyone Angleton stood, Dulles stood too.  "
"Sally will stand near Mag, but he won't Holly.","Sally will stand near Mag, but she won’t stand near Holly.  "
"While Holly didn't discuss a report about every boy, she did every girl.","While Holly didn’t discuss a report about every boy, she discussed every girl.  "
Sam stood near yesterday every one of the women we'd been discussing.,Sam stood near every one of the women we had been discussing yesterday.  
Truman visited yesterday you.,Truman visited you yesterday.  
Truman told the story Bob.,Truman told Bob the story.  
"While Rusty might leave in order to please Mag, he won't his father.","While Rusty might leave to please Mag, he won’t leave to please his father.  "
"While Doc might claim that Bob had read his book, he won't the paper.","While Doc might claim that Bob had read his book, he won’t claim to have read the paper.  "
"I'll turn the radio down, but I won't up.","I’ll turn the radio down, but I won’t turn it up.  "
"I know which book Max read, and which book Oscar hasn't done so.","I know which book Max read, and which book Oscar hasn’t read.  "
Rusty talked about himself only after Mary did talk about himself.,Rusty talked about himself only after Mary did the same.  
"David is a great artist, and when he does, his eyes squint at you.","David is a great artist, and when he works, his eyes squint.  "
"The candidate was dogged by charges of infidelity, or at least trying to.","The candidate was dogged by charges of infidelity, or at least by attempts to discredit them.  "
John likes not Mary.,John does not like Mary.  
John meets often Mary.,John often meets Mary.  
John tries to meet often Mary.,John often tries to meet Mary.  
John tries to meet not Mary.,John tries not to meet Mary.  
Runs Mary the marathon?,Does Mary run the marathon?  
Mary runs often the marathon.,Mary often runs the marathon.  
"I did not, as Bill had thought, go to the store.","I did not go to the store, as Bill had thought.  "
The writers so believed the boy.,The writers believed the boy in such a way.  
The writers didn't so believe the boy.,The writers did not believe the boy in such a way.  
The problem's perception is quite thorough.,The perception of the problem is quite thorough.  
The problem's knowledge is quite thorough.,The understanding of the problem is quite thorough.  
The problem knows easily.,The problem is easily understood.  
The ship sank to collect the insurance.,The ship was sunk to collect the insurance.  
The ship's sinking to collect the insurance was very devious.,The sinking of the ship to collect the insurance was very devious.  
This drug's testing on oneself is too risky.,Testing this drug on oneself is too risky.  
Rich we have impeccable taste.,"We, being wealthy, have impeccable taste.  "
