word1	relation	word2	gloss1	gloss2
accept%2:40:00::	event	acceptation%1:04:00::	receive willingly something given or off...	the act of accepting with approval; favo...
accept%2:40:07::	event	acceptation%1:26:00::	"receive (a report) officially, as from a..."	acceptance as true or valid
accept%2:32:00::	event	acceptation%1:26:00::	give an affirmative reply to; respond fa...	acceptance as true or valid
accept%2:32:00::	event	acceptation%1:04:00::	give an affirmative reply to; respond fa...	the act of accepting with approval; favo...
accept%2:31:01::	event	acceptation%1:26:00::	react favorably to; consider right and p...	acceptance as true or valid
accept%2:31:01::	event	acceptation%1:04:00::	react favorably to; consider right and p...	the act of accepting with approval; favo...
accept%2:31:00::	event	acceptation%1:26:00::	"consider or hold as true; ""I cannot acce..."	acceptance as true or valid
accept%2:31:00::	event	acceptation%1:10:00::	"consider or hold as true; ""I cannot acce..."	the accepted meaning of a word
access%2:38:00::	event	accession%1:04:03::	"reach or gain access to; ""How does one a..."	the act of attaining or gaining access t...
acclaim%2:32:00::	event	acclamation%1:10:00::	"praise vociferously; ""The critics hailed..."	"enthusiastic approval; ""the book met wit..."
acclimate%2:30:00::	event	acclimation%1:22:00::	"get used to a certain climate; ""They nev..."	adaptation to a new climate (a new tempe...
acclimatise%2:30:00::	event	acclimatisation%1:22:00::	"get used to a certain climate; ""They nev..."	adaptation to a new climate (a new tempe...
acclimatize%2:30:00::	event	acclimatization%1:22:00::	"get used to a certain climate; ""They nev..."	adaptation to a new climate (a new tempe...
accommodate%2:42:00::	event	accommodation%1:11:00::	"be agreeable or acceptable to; ""This sui..."	making or becoming suitable; adjusting t...
accommodate%2:42:01::	event	accommodation%1:04:00::	"provide housing for; ""We are lodging thr..."	the act of providing something (lodging ...
accommodate%2:34:00::	event	accommodation%1:04:00::	provide with something desired or needed...	the act of providing something (lodging ...
accommodate%2:32:00::	event	accommodation%1:04:00::	provide a service or favor for someone; ...	the act of providing something (lodging ...
accommodate%2:30:01::	event	accommodation%1:11:00::	make (one thing) compatible with (anothe...	making or becoming suitable; adjusting t...
accommodate%2:30:01::	event	accommodation%1:10:02::	make (one thing) compatible with (anothe...	"a settlement of differences; ""they reach..."
accommodate%2:30:01::	event	accommodation%1:09:00::	make (one thing) compatible with (anothe...	in the theories of Jean Piaget: the modi...
accommodate%2:30:00::	event	accommodation%1:11:00::	"make fit for, or change to suit a new pu..."	making or becoming suitable; adjusting t...
accommodate%2:30:00::	event	accommodation%1:09:00::	"make fit for, or change to suit a new pu..."	in the theories of Jean Piaget: the modi...
accredit%2:41:00::	event	accreditation%1:04:00::	"grant credentials to; ""The Regents offic..."	the act of granting credit or recognitio...
accrete%2:30:01::	event	accretion%1:22:02::	"grow or become attached by accretion; ""T..."	(biology) growth by addition as by the a...
accrete%2:30:01::	event	accretion%1:22:00::	"grow or become attached by accretion; ""T..."	an increase by natural growth or additio...
acculturate%2:30:00::	event	acculturation%1:04:00::	assimilate culturally	the adoption of the behavior patterns of...
accumulate%2:40:00::	event	accumulation%1:04:00::	"get or gather together; ""I am accumulati..."	the act of accumulating
accumulate%2:30:00::	event	accumulation%1:04:00::	"collect or gather; ""Journals are accumul..."	the act of accumulating
accuse%2:32:01::	event	accusation%1:10:01::	"blame for, make a claim of wrongdoing or..."	an assertion that someone is guilty of a...
accuse%2:32:00::	event	accusation%1:10:00::	bring an accusation against; level a cha...	a formal charge of wrongdoing brought ag...
acetylate%2:30:00::	event	acetylation%1:22:00::	receive substitution of an acetyl group;...	the process of introducing an acetyl gro...
acetylate%2:30:01::	event	acetylation%1:22:00::	introduce an acetyl group into (a chemic...	the process of introducing an acetyl gro...
acidify%2:30:00::	event	acidification%1:22:00::	"turn acidic; ""the solution acetified"""	the process of becoming acid or being co...
acquire%2:40:00::	event	acquisition%1:09:01::	come into the possession of something co...	the cognitive process of acquiring skill...
acquire%2:40:00::	event	acquisition%1:04:00::	come into the possession of something co...	the act of contracting or assuming or ac...
acquire%2:31:00::	event	acquisition%1:09:01::	"gain knowledge or skills; ""She learned d..."	the cognitive process of acquiring skill...
act%2:41:00::	event	action%1:04:02::	"perform an action, or work out or perfor..."	something done (usually as opposed to so...
action%2:41:00::	event	action%1:04:01::	institute legal proceedings against; fil...	a judicial proceeding brought by one par...
activate%2:30:00::	event	activation%1:04:01::	"make active or more active; ""activate an..."	making active and effective (as a bomb)
actualise%2:36:00::	event	actualisation%1:04:00::	make real or concrete; give reality or s...	making real or giving the appearance of ...
actualize%2:36:00::	event	actualization%1:04:00::	make real or concrete; give reality or s...	making real or giving the appearance of ...
actuate%2:36:00::	event	actuation%1:04:00::	"put in motion or move to act; ""trigger a..."	the act of propelling
adapt%2:30:02::	event	adaptation%1:22:00::	adapt or conform oneself to new or diffe...	the process of adapting to something (su...
addict%2:34:00::	event	addiction%1:26:00::	to cause (someone or oneself) to become ...	being abnormally tolerant to and depende...
adduct%2:35:00::	event	adduction%1:04:00::	"draw a limb towards the body; ""adduct th..."	(physiology) moving of a body part towar...
adjoin%2:35:03::	event	adjunction%1:04:00::	be in direct physical contact with; make...	an act of joining or adjoining things
adjure%2:32:01::	event	adjuration%1:10:00::	"ask for or request earnestly; ""The proph..."	a solemn and earnest appeal to someone t...
adjure%2:32:00::	event	adjuration%1:10:00::	command solemnly	a solemn and earnest appeal to someone t...
administer%2:29:00::	event	administration%1:04:01::	give or apply (medications)	the act of administering medication
admit%2:41:01::	event	admission%1:04:00::	"allow to enter; grant entry to; ""We cann..."	"the act of admitting someone to enter; ""..."
admit%2:32:00::	event	admission%1:10:00::	declare to be true or admit the existenc...	an acknowledgment of the truth of someth...
admonish%2:32:01::	event	admonition%1:10:01::	warn strongly; put on guard	cautionary advice about something immine...
admonish%2:32:02::	event	admonition%1:10:01::	admonish or counsel in terms of someone'...	cautionary advice about something immine...
admonish%2:32:00::	event	admonition%1:10:00::	"take to task; ""He admonished the child f..."	a firm rebuke
adopt%2:40:02::	event	adoption%1:04:00::	"choose and follow; as of theories, ideas..."	the act of accepting with approval; favo...
adopt%2:40:00::	event	adoption%1:04:01::	take up and practice as one's own	the appropriation (of ideas or words etc...
adopt%2:31:04::	event	adoption%1:04:01::	"take up the cause, ideology, practice, m..."	the appropriation (of ideas or words etc...
adopt%2:30:00::	event	adoption%1:04:02::	"take into one's family; ""They adopted tw..."	a legal proceeding that creates a parent...
adsorb%2:35:00::	event	adsorption%1:22:00::	accumulate (liquids or gases) on the sur...	the accumulation of molecules of a gas t...
advect%2:38:00::	event	advection%1:22:00::	convey by horizontal mass movement of a ...	(meteorology) the horizontal transfer of...
aerate%2:39:00::	event	aeration%1:22:00::	"expose to fresh air; ""aerate your old sn..."	the process of exposing to air (so as to...
aerate%2:30:01::	event	aeration%1:04:00::	"impregnate, combine, or supply with oxyg..."	the act of charging a liquid with a gas ...
aestivate%2:29:00::	event	aestivation%1:26:00::	"sleep during summer; ""certain animals es..."	(zoology) cessation or slowing of activi...
affiliate%2:41:00::	event	affiliation%1:26:00::	"join in an affiliation; ""The two college..."	"a social or business relationship; ""a va..."
affiliate%2:41:00::	event	affiliation%1:04:00::	"join in an affiliation; ""The two college..."	the act of becoming formally connected o...
affirm%2:32:01::	event	affirmation%1:10:02::	say yes to	the act of affirming or asserting or sta...
affirm%2:32:00::	event	affirmation%1:10:02::	to declare or affirm solemnly and formal...	the act of affirming or asserting or sta...
affirm%2:32:00::	event	affirmation%1:10:00::	to declare or affirm solemnly and formal...	a statement asserting the existence or t...
affirm%2:31:00::	event	affirmation%1:04:00::	establish or strengthen as with new evid...	a judgment by a higher court that the ju...
affix%2:35:01::	event	affixation%1:04:01::	"add to the very end; ""He appended a glos..."	the act of attaching or affixing somethi...
affix%2:35:02::	event	affixation%1:04:00::	attach or become attached to a stem word...	formation of a word by means of an affix...
afforest%2:35:00::	event	afforestation%1:04:00::	establish a forest on previously unfores...	the conversion of bare or cultivated lan...
agglutinate%2:35:01::	event	agglutination%1:22:00::	string together (morphemes in an aggluti...	the building of words from component mor...
agglutinate%2:35:00::	event	agglutination%1:22:01::	"clump together; as of bacteria, red bloo..."	a clumping of bacteria or red cells when...
aggravate%2:37:00::	event	aggravation%1:04:00::	exasperate or irritate	unfriendly behavior that causes anger or...
aggravate%2:30:00::	event	aggravation%1:04:01::	"make worse; ""This drug aggravates the pa..."	action that makes a problem or a disease...
aggress%2:33:00::	event	aggression%1:04:02::	take the initiative and go on the offens...	the act of initiating hostilities
aggress%2:33:00::	event	aggression%1:04:00::	take the initiative and go on the offens...	violent action that is hostile and usual...
aliment%2:34:00::	event	alimentation%1:04:00::	give nourishment to	the act of supplying food and nourishmen...
alleviate%2:29:00::	event	alleviation%1:04:00::	"provide physical relief, as from pain; ""..."	the act of reducing something unpleasant...
alliterate%2:36:00::	event	alliteration%1:10:00::	use alliteration as a form of poetry	use of the same consonant at the beginni...
allocate%2:40:00::	event	allocation%1:04:01::	distribute according to a plan or set ap...	(computer science) the assignment of par...
allocate%2:40:00::	event	allocation%1:04:00::	distribute according to a plan or set ap...	the act of distributing by allotting or ...
allude%2:32:00::	event	allusion%1:10:00::	make a more or less disguised reference ...	passing reference or indirect mention
alphabetize%2:30:00::	event	alphabetization%1:04:00::	"arrange in alphabetical order; ""Alphabet..."	the act of putting in alphabetical order...
alter%2:36:00::	event	alteration%1:04:01::	"make an alteration to; ""This dress needs..."	the act of making something different (a...
alter%2:30:01::	event	alteration%1:04:01::	cause to change; make different; cause a...	the act of making something different (a...
alter%2:30:01::	event	alteration%1:11:00::	cause to change; make different; cause a...	an event that occurs when something pass...
alternate%2:30:01::	event	alternation%1:04:00::	go back and forth; swing back and forth ...	successive change from one thing or stat...
alternate%2:30:00::	event	alternation%1:04:00::	"do something in turns; ""We take turns on..."	successive change from one thing or stat...
ambulate%2:38:00::	event	ambulation%1:04:00::	walk about; not be bedridden or incapabl...	"walking about; ""the hospital encouraged ..."
ameliorate%2:30:01::	event	amelioration%1:04:00::	"to make better; ""The editor improved the..."	the act of relieving ills and changing f...
ameliorate%2:30:00::	event	amelioration%1:04:00::	"get better; ""The weather improved toward..."	the act of relieving ills and changing f...
ammonify%2:30:00::	event	ammonification%1:22:00::	treat with ammonia; cause to undergo amm...	impregnation with ammonia or a compound ...
amortise%2:40:00::	event	amortisation%1:04:00::	liquidate gradually	payment of an obligation in a series of ...
amortize%2:40:00::	event	amortization%1:04:00::	liquidate gradually	payment of an obligation in a series of ...
amputate%2:35:00::	event	amputation%1:04:00::	"remove surgically; ""amputate limbs"""	a surgical removal of all or part of a l...
anathematise%2:32:00::	event	anathematization%1:04:00::	curse or declare to be evil or anathema ...	the formal act of pronouncing (someone o...
anathematise%2:32:00::	event	anathematisation%1:04:00::	curse or declare to be evil or anathema ...	the formal act of pronouncing (someone o...
anathematize%2:32:00::	event	anathematization%1:04:00::	curse or declare to be evil or anathema ...	the formal act of pronouncing (someone o...
animadvert%2:32:01::	event	animadversion%1:10:00::	express blame or censure or make a harsh...	harsh criticism or disapproval
annihilate%2:30:00::	event	annihilation%1:11:00::	"kill in large numbers; ""the plague wiped..."	"total destruction; ""bomb tests resulted ..."
annihilate%2:30:00::	event	annihilation%1:04:00::	"kill in large numbers; ""the plague wiped..."	destruction by annihilating something
annotate%2:36:00::	event	annotation%1:04:00::	add explanatory notes to or supply with ...	the act of adding notes
appear%2:30:02::	event	apparition%1:04:00::	"come into being or existence, or appear ..."	an act of appearing or becoming visible ...
appear%2:30:00::	event	apparition%1:04:00::	"come into sight or view; ""He suddenly ap..."	an act of appearing or becoming visible ...
apperceive%2:39:00::	event	apperception%1:09:00::	perceive in terms of a past experience	the process whereby perceived qualities ...
apply%2:42:01::	event	application%1:04:02::	"be applicable to; as to an analysis; ""Th..."	the act of bringing something to bear; u...
apply%2:41:09::	event	application%1:04:01::	"apply oneself to; ""Please apply yourself..."	"a diligent effort; ""it is a job requirin..."
apply%2:41:01::	event	application%1:04:02::	"avail oneself to; ""apply a principle""; ""..."	the act of bringing something to bear; u...
apply%2:35:00::	event	application%1:04:03::	"apply to a surface; ""She applied paint t..."	"the work of applying something; ""the doc..."
apply%2:34:00::	event	application%1:04:02::	put into service; make work or employ fo...	the act of bringing something to bear; u...
apply%2:32:01::	event	application%1:04:02::	refer (a word or name) to a person or th...	the act of bringing something to bear; u...
apply%2:32:00::	event	application%1:10:00::	"ask (for something); ""He applied for a l..."	a verbal or written request for assistan...
appose%2:35:00::	event	apposition%1:04:00::	place side by side or in close proximity...	the act of positioning close together (o...
apprehend%2:35:00::	event	apprehension%1:04:00::	"take into custody; ""the police nabbed th..."	the act of apprehending (especially appr...
approbate%2:32:00::	event	approbation%1:12:00::	approve or sanction officially	official approval
approbate%2:32:00::	event	approbation%1:10:00::	approve or sanction officially	official recognition or approval
approbate%2:31:00::	event	approbation%1:12:00::	accept (documents) as valid	official approval
approbate%2:31:00::	event	approbation%1:10:00::	accept (documents) as valid	official recognition or approval
approve%2:32:00::	event	approbation%1:10:00::	"give sanction to; ""I approve of his educ..."	official recognition or approval
approve%2:31:00::	event	approbation%1:12:00::	judge to be right or commendable; think ...	official approval
approve%2:31:00::	event	approbation%1:10:00::	judge to be right or commendable; think ...	official recognition or approval
arbitrate%2:32:00::	event	arbitration%1:10:00::	act between parties with a view to recon...	(law) the hearing and determination of a...
arbitrate%2:32:00::	event	arbitration%1:04:00::	act between parties with a view to recon...	the act of deciding as an arbiter; givin...
argue%2:32:01::	event	argumentation%1:10:00::	"give evidence of; ""The evidence argues f..."	a discussion in which reasons are advanc...
argue%2:32:01::	event	argumentation%1:09:00::	"give evidence of; ""The evidence argues f..."	a course of reasoning aimed at demonstra...
argue%2:32:02::	event	argumentation%1:10:00::	present reasons and arguments	a discussion in which reasons are advanc...
argue%2:32:02::	event	argumentation%1:09:00::	present reasons and arguments	a course of reasoning aimed at demonstra...
arrogate%2:40:00::	event	arrogation%1:04:00::	seize and take control without authority...	seizure by the government
articulate%2:40:00::	event	articulation%1:04:00::	"provide with a joint; ""the carpenter joi..."	the act of joining things in such a way ...
articulate%2:32:02::	event	articulation%1:10:01::	"put into words or an expression; ""He for..."	"expressing in coherent verbal form; ""the..."
articulate%2:32:00::	event	articulation%1:10:01::	"speak, pronounce, or utter in a certain ..."	"expressing in coherent verbal form; ""the..."
articulate%2:32:01::	event	articulation%1:10:01::	express or state clearly	"expressing in coherent verbal form; ""the..."
ascend%2:38:03::	event	ascension%1:11:01::	"come up, of celestial bodies; ""The sun a..."	(astronomy) the rising of a star above t...
ascend%2:38:02::	event	ascension%1:11:00::	"travel up, ""We ascended the mountain""; ""..."	"a movement upward; ""they cheered the ris..."
ascend%2:38:02::	event	ascension%1:04:00::	"travel up, ""We ascended the mountain""; ""..."	the act of changing location in an upwar...
ascribe%2:31:00::	event	ascription%1:09:00::	"attribute or credit to; ""We attributed t..."	"assigning to a cause or source; ""the att..."
asperse%2:32:00::	event	aspersion%1:10:00::	charge falsely or with malicious intent;...	"a disparaging remark; ""in the 19th centu..."
asperse%2:32:00::	event	aspersion%1:04:00::	charge falsely or with malicious intent;...	an abusive attack on a person's characte...
asphyxiate%2:35:00::	event	asphyxiation%1:04:00::	deprive of oxygen and prevent from breat...	killing by depriving of oxygen
asphyxiate%2:30:00::	event	asphyxiation%1:04:00::	be asphyxiated; die from lack of oxygen;...	killing by depriving of oxygen
aspirate%2:32:00::	event	aspiration%1:10:00::	pronounce with aspiration; of stop sound...	a manner of articulation involving an au...
aspirate%2:29:00::	event	aspiration%1:04:00::	suck in (air)	the act of inhaling; the drawing in of a...
assassinate%2:41:00::	event	assassination%1:04:00::	murder; especially of socially prominent...	murder of a public figure by surprise at...
assassinate%2:32:00::	event	assassination%1:10:01::	"destroy or damage seriously, as of someo..."	an attack intended to ruin someone's rep...
assert%2:32:01::	event	assertion%1:10:00::	state categorically	a declaration that is made emphatically ...
assert%2:32:00::	event	assertion%1:10:01::	to declare or affirm solemnly and formal...	the act of affirming or asserting or sta...
assert%2:31:00::	event	assertion%1:10:01::	"assert to be true; ""The letter asserts a..."	the act of affirming or asserting or sta...
asseverate%2:32:00::	event	asseveration%1:10:00::	state categorically	a declaration that is made emphatically ...
assibilate%2:32:00::	event	assibilation%1:10:00::	insert a sibilant sound before or after ...	pronunciation with a sibilant (hissing o...
assibilate%2:30:00::	event	assibilation%1:22:00::	"change into a sibilant; ""In the syllable..."	the development of a consonant phoneme i...
assibilate%2:30:00::	event	assibilation%1:10:00::	"change into a sibilant; ""In the syllable..."	pronunciation with a sibilant (hissing o...
assign%2:40:01::	event	assignation%1:04:01::	"give out; ""We were assigned new uniforms..."	the act of distributing by allotting or ...
assimilate%2:35:00::	event	assimilation%1:22:01::	"take (gas, light or heat) into a solutio..."	the process of absorbing nutrients into ...
assimilate%2:31:00::	event	assimilation%1:09:01::	"take up mentally; ""he absorbed the knowl..."	the process of assimilating new ideas in...
assimilate%2:31:00::	event	assimilation%1:09:00::	"take up mentally; ""he absorbed the knowl..."	in the theories of Jean Piaget: the appl...
assimilate%2:30:02::	event	assimilation%1:22:00::	"become similar in sound; ""The nasal assi..."	a linguistic process by which a sound be...
assimilate%2:30:01::	event	assimilation%1:22:02::	"make similar; ""This country assimilates ..."	the social process of absorbing one cult...
assimilate%2:30:00::	event	assimilation%1:22:02::	"become similar to one's environment; ""Im..."	the social process of absorbing one cult...
associate%2:41:02::	event	association%1:04:00::	"keep company with; hang out with; ""He as..."	the act of consorting with or joining wi...
associate%2:41:00::	event	association%1:26:00::	bring or come into association or action...	"a social or business relationship; ""a va..."
associate%2:41:00::	event	association%1:04:00::	bring or come into association or action...	the act of consorting with or joining wi...
associate%2:31:00::	event	association%1:09:00::	"make a logical or causal connection; ""I ..."	the process of bringing ideas or events ...
assume%2:41:00::	event	assumption%1:04:00::	"take on titles, offices, duties, respons..."	the act of taking possession of or power...
assume%2:40:01::	event	assumption%1:04:00::	take on as one's own the expenses or deb...	the act of taking possession of or power...
assume%2:40:00::	event	assumption%1:04:00::	seize and take control without authority...	the act of taking possession of or power...
assume%2:35:00::	event	assumption%1:11:00::	"take up someone's soul into heaven; ""Thi..."	(Christianity) the taking up of the body...
assume%2:31:00::	event	assumption%1:10:00::	take to be the case or to be true; accep...	a statement that is assumed to be true a...
assume%2:31:00::	event	assumption%1:09:00::	take to be the case or to be true; accep...	a hypothesis that is taken for granted; ...
assume%2:31:00::	event	assumption%1:04:01::	take to be the case or to be true; accep...	the act of assuming or taking for grante...
atomise%2:33:00::	event	atomisation%1:04:01::	"strike at with firepower or bombs; ""zap ..."	annihilation by reducing something to at...
atomise%2:30:00::	event	atomisation%1:04:00::	"break up into small particles; ""the fine..."	separating something into fine particles...
atomize%2:33:00::	event	atomization%1:04:01::	"strike at with firepower or bombs; ""zap ..."	annihilation by reducing something to at...
atomize%2:30:00::	event	atomization%1:04:00::	"break up into small particles; ""the fine..."	separating something into fine particles...
attend%2:41:12::	event	attention%1:04:01::	"take charge of or deal with; ""Could you ..."	the work of providing treatment for or a...
attend%2:39:00::	event	attention%1:09:00::	"give heed (to); ""The children in the aud..."	the process whereby a person concentrate...
attenuate%2:30:00::	event	attenuation%1:11:00::	"become weaker, in strength, value, or ma..."	"weakening in force or intensity; ""attenu..."
attest%2:32:02::	event	attestation%1:10:00::	give testimony in a court of law	the action of bearing witness
attract%2:35:00::	event	attraction%1:10:00::	direct toward itself or oneself by means...	an entertainment that is offered to the ...
attribute%2:31:01::	event	attribution%1:09:00::	decide as to where something belongs in ...	"assigning to a cause or source; ""the att..."
auction%2:40:00::	event	auction%1:04:00::	sell at an auction	the public sale of something to the high...
audition%2:36:00::	event	audition%1:04:01::	"perform in order to get a role; ""She aud..."	a test of the suitability of a performer...
augment%2:30:00::	event	augmentation%1:11:00::	"grow or intensify; ""The pressure augment..."	the amount by which something increases
augment%2:30:01::	event	augmentation%1:11:00::	"enlarge or increase; ""The recent speech ..."	the amount by which something increases
augment%2:30:01::	event	augmentation%1:04:00::	"enlarge or increase; ""The recent speech ..."	the act of augmenting
auscultate%2:39:00::	event	auscultation%1:04:00::	examine by auscultation	listening to sounds within the body (usu...
authenticate%2:31:00::	event	authentication%1:04:00::	establish the authenticity of something	validating the authenticity of something...
authorise%2:32:00::	event	authorisation%1:04:00::	"grant authorization or clearance for; ""C..."	the act of conferring legality or sancti...
authorize%2:41:00::	event	authorization%1:04:00::	give or delegate power or authority to; ...	the act of conferring legality or sancti...
automate%2:30:00::	event	automation%1:04:00::	make automatic or control or operate aut...	the act of implementing the control of e...
avert%2:38:00::	event	aversion%1:04:00::	"turn away or aside; ""They averted their ..."	the act of turning yourself (or your gaz...
aviate%2:38:00::	event	aviation%1:14:01::	"operate an airplane; ""The pilot flew to ..."	the operation of aircraft to provide tra...
aviate%2:38:00::	event	aviation%1:09:00::	"operate an airplane; ""The pilot flew to ..."	the art of operating aircraft
avulse%2:38:00::	event	avulsion%1:04:00::	separate by avulsion	a forcible tearing or surgical separatio...
barbarise%2:30:01::	event	barbarisation%1:04:00::	become crude or savage or barbaric in be...	an act that makes people primitive and u...
barbarise%2:30:00::	event	barbarisation%1:04:00::	make crude or savage in behavior or spee...	an act that makes people primitive and u...
barbarize%2:30:00::	event	barbarization%1:04:00::	make crude or savage in behavior or spee...	an act that makes people primitive and u...
bastardise%2:41:00::	event	bastardisation%1:04:00::	change something so that its value decli...	an act that debases or corrupts
bastardize%2:41:00::	event	bastardization%1:04:00::	change something so that its value decli...	an act that debases or corrupts
bastardize%2:32:00::	event	bastardization%1:10:00::	declare a child to be illegitimate	"declaring or rendering bastard; ""the ann..."
beatify%2:37:03::	event	beatification%1:04:01::	"fill with sublime emotion; ""The children..."	the action of rendering supremely blesse...
beatify%2:37:01::	event	beatification%1:26:00::	make blessedly happy	a state of supreme happiness
beatify%2:37:01::	event	beatification%1:04:01::	make blessedly happy	the action of rendering supremely blesse...
beatify%2:32:00::	event	beatification%1:04:00::	declare (a dead person) to be blessed; t...	(Roman Catholic Church) an act of the Po...
beautify%2:42:00::	event	beautification%1:04:00::	"be beautiful to look at; ""Flowers adorne..."	the act of making something more beautif...
beautify%2:36:00::	event	beautification%1:04:00::	"make more attractive by adding ornament,..."	the act of making something more beautif...
beautify%2:30:00::	event	beautification%1:04:00::	make more beautiful	the act of making something more beautif...
benefact%2:41:00::	event	benefaction%1:21:00::	"help as a benefactor; ""The father benefa..."	a contribution of money or assistance
benefact%2:41:00::	event	benefaction%1:04:00::	"help as a benefactor; ""The father benefa..."	an act intending or showing kindness and...
beneficiate%2:30:00::	event	beneficiation%1:22:00::	"process (ores or other raw materials), a..."	crushing and separating ore into valuabl...
bifurcate%2:42:00::	event	bifurcation%1:04:00::	split or divide into two	the act of splitting into two branches
bifurcate%2:30:00::	event	bifurcation%1:04:00::	"divide into two branches; ""The road bifu..."	the act of splitting into two branches
bisect%2:35:00::	event	bisection%1:04:00::	"cut in half or cut in two; ""bisect a lin..."	dividing into two equal parts
bombilate%2:39:00::	event	bombilation%1:11:00::	"make a buzzing sound; ""bees were buzzing..."	"sound of rapid vibration; ""the buzz of a..."
bombinate%2:39:00::	event	bombination%1:11:00::	"make a buzzing sound; ""bees were buzzing..."	"sound of rapid vibration; ""the buzz of a..."
bowdlerise%2:30:00::	event	bowdlerisation%1:04:00::	edit by omitting or modifying parts cons...	the act of deleting or modifying all pas...
bowdlerize%2:30:00::	event	bowdlerization%1:04:00::	edit by omitting or modifying parts cons...	the act of deleting or modifying all pas...
brachiate%2:38:00::	event	brachiation%1:04:00::	"swing from one hold to the next; ""the mo..."	swinging by the arms from branch to bran...
brutalise%2:41:00::	event	brutalisation%1:04:01::	treat brutally	the activity of treating someone savagel...
brutalise%2:30:01::	event	brutalisation%1:04:00::	"make brutal, unfeeling, or inhuman; ""Lif..."	an act that makes people cruel or lackin...
brutalise%2:30:00::	event	brutalisation%1:04:00::	become brutal or insensitive and unfeeli...	an act that makes people cruel or lackin...
brutalize%2:41:00::	event	brutalization%1:04:01::	treat brutally	the activity of treating someone savagel...
brutalize%2:30:01::	event	brutalization%1:04:00::	"make brutal, unfeeling, or inhuman; ""Lif..."	an act that makes people cruel or lackin...
brutalize%2:30:00::	event	brutalization%1:04:00::	become brutal or insensitive and unfeeli...	an act that makes people cruel or lackin...
cachinnate%2:29:00::	event	cachinnation%1:10:00::	laugh loudly and in an unrestrained way	loud convulsive laughter
calcify%2:30:02::	event	calcification%1:22:00::	become impregnated with calcium salts	a process that impregnates something wit...
calcine%2:30:00::	event	calcination%1:22:00::	heat a substance so that it oxidizes or ...	the conversion of metals into their oxid...
calculate%2:40:00::	event	calculation%1:09:00::	keep an account of	problem solving that involves numbers or...
calculate%2:40:00::	event	calculation%1:04:00::	keep an account of	the procedure of calculating; determinin...
calculate%2:32:01::	event	calculation%1:09:01::	predict in advance	planning something carefully and intenti...
calculate%2:32:01::	event	calculation%1:04:00::	predict in advance	the procedure of calculating; determinin...
calculate%2:31:03::	event	calculation%1:04:00::	judge to be probable	the procedure of calculating; determinin...
calculate%2:31:00::	event	calculation%1:09:00::	make a mathematical calculation or compu...	problem solving that involves numbers or...
calculate%2:31:00::	event	calculation%1:04:00::	make a mathematical calculation or compu...	the procedure of calculating; determinin...
calibrate%2:35:02::	event	calibration%1:04:00::	mark (the scale of a measuring instrumen...	the act of checking or adjusting (by com...
calibrate%2:30:00::	event	calibration%1:04:00::	make fine adjustments or divide into mar...	the act of checking or adjusting (by com...
canal%2:40:00::	event	canalisation%1:04:00::	provide (a city) with a canal	the production of a canal or a conversio...
canal%2:40:00::	event	canalization%1:04:00::	provide (a city) with a canal	the production of a canal or a conversio...
canalise%2:40:00::	event	canalisation%1:04:00::	provide (a city) with a canal	the production of a canal or a conversio...
canalise%2:38:00::	event	canalisation%1:04:01::	"direct the flow of; ""channel information..."	management through specified channels of...
canalize%2:40:00::	event	canalization%1:04:00::	provide (a city) with a canal	the production of a canal or a conversio...
canalize%2:38:00::	event	canalization%1:04:01::	"direct the flow of; ""channel information..."	management through specified channels of...
cancel%2:41:03::	event	cancellation%1:04:00::	postpone indefinitely or annul something...	the act of cancelling; calling off some ...
cancel%2:41:00::	event	cancellation%1:10:00::	declare null and void; make ineffective;...	the speech act of revoking or annulling ...
cancel%2:41:00::	event	cancellation%1:04:00::	declare null and void; make ineffective;...	the act of cancelling; calling off some ...
cannulate%2:35:00::	event	canulisation%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulate%2:35:00::	event	canulization%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulate%2:35:00::	event	cannulisation%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulate%2:35:00::	event	cannulization%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulate%2:35:00::	event	cannulation%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulise%2:35:00::	event	cannulization%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
cannulize%2:35:00::	event	cannulisation%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
canonise%2:32:00::	event	canonisation%1:04:00::	"declare (a dead person) to be a saint; ""..."	(Roman Catholic and Eastern Orthodox Chu...
canonize%2:32:00::	event	canonization%1:04:00::	"declare (a dead person) to be a saint; ""..."	(Roman Catholic and Eastern Orthodox Chu...
cantillate%2:32:00::	event	cantillation%1:04:00::	recite with musical intonation; recite a...	liturgical chanting
canulate%2:35:00::	event	canulation%1:04:00::	"introduce a cannula or tube into; ""Cannu..."	the insertion of a cannula or tube into ...
capitalise%2:40:00::	event	capitalisation%1:04:00::	"draw advantages from; ""he is capitalizin..."	the act of capitalizing on an opportunit...
